               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  63,            0.061478,            0.014306,           0.0099935,             0.71777,              0.9516,             0.93021,             0.47611,            0.052392,           0.0089071,           0.0078245,           0.0096931,           0.0096931,           0.0096931
                  64,             0.05805,            0.014346,           0.0088529,             0.48305,             0.99081,             0.76137,             0.24632,            0.062462,            0.010215,           0.0077242,           0.0096881,           0.0096881,           0.0096881
                  65,            0.062725,            0.015315,           0.0089633,             0.84445,             0.74128,             0.84636,             0.35242,            0.050363,           0.0091725,           0.0080629,           0.0096832,           0.0096832,           0.0096832
                  66,            0.048313,            0.013739,           0.0093282,             0.86737,             0.93139,             0.94622,             0.50484,            0.042069,           0.0093437,           0.0081179,           0.0096783,           0.0096783,           0.0096783
                  67,            0.044093,            0.014311,           0.0086007,             0.79643,             0.97638,             0.92294,             0.46097,            0.046648,           0.0090053,           0.0079823,           0.0096733,           0.0096733,           0.0096733
                  68,            0.055864,            0.014253,            0.008009,                0.36,             0.97237,             0.56753,             0.22946,            0.058816,            0.011036,           0.0072434,           0.0096684,           0.0096684,           0.0096684
                  69,            0.065938,            0.014582,           0.0076218,             0.53104,             0.83498,             0.76096,             0.36563,            0.050966,             0.01008,           0.0071157,           0.0096634,           0.0096634,           0.0096634
                  70,            0.052074,            0.015372,           0.0083011,             0.84669,             0.75178,             0.92366,             0.42285,            0.045955,           0.0098727,           0.0069867,           0.0096585,           0.0096585,           0.0096585
                  71,            0.048823,            0.015083,           0.0078279,             0.52649,             0.88828,             0.86017,             0.46663,            0.044346,            0.010088,           0.0065126,           0.0096535,           0.0096535,           0.0096535
                  72,            0.050415,            0.013525,           0.0072586,             0.68586,             0.63062,             0.72557,             0.28936,            0.057008,             0.01017,            0.006473,           0.0096486,           0.0096486,           0.0096486
                  73,            0.059879,            0.015892,            0.008007,             0.86284,             0.72973,             0.88053,             0.40864,            0.049867,           0.0099148,           0.0065005,           0.0096436,           0.0096436,           0.0096436
                  74,            0.049412,            0.013976,           0.0075906,             0.85494,              0.7734,             0.94303,              0.5697,            0.038346,           0.0098914,           0.0064478,           0.0096387,           0.0096387,           0.0096387
                  75,            0.043935,            0.015818,           0.0076796,              0.9243,             0.88828,             0.95639,             0.57745,            0.032986,           0.0097319,           0.0062768,           0.0096337,           0.0096337,           0.0096337
                  76,            0.045099,            0.013635,           0.0080051,             0.71645,             0.84008,             0.89974,               0.438,             0.05161,           0.0098424,           0.0060758,           0.0096288,           0.0096288,           0.0096288
                  77,            0.056051,             0.01335,           0.0072415,             0.83844,             0.98637,             0.98599,             0.43094,            0.046357,           0.0092398,           0.0060901,           0.0096238,           0.0096238,           0.0096238
                  78,            0.047245,            0.011767,           0.0068592,             0.88875,              0.8545,             0.96569,              0.3787,            0.037578,           0.0091943,           0.0060523,           0.0096188,           0.0096188,           0.0096188
                  79,            0.042118,            0.012765,           0.0067305,             0.85757,             0.94896,             0.95276,             0.52031,            0.033241,           0.0092598,           0.0060319,           0.0096139,           0.0096139,           0.0096139
                  80,             0.04652,            0.012821,           0.0078331,             0.57277,             0.94786,             0.87916,             0.43344,             0.04992,           0.0095533,           0.0059767,            0.009609,            0.009609,            0.009609
                  81,            0.055665,            0.013249,           0.0068869,             0.83584,             0.77945,             0.90491,             0.51345,            0.036924,           0.0092294,           0.0061611,            0.009604,            0.009604,            0.009604
                  82,            0.041701,            0.012985,           0.0070494,             0.97022,              0.9154,             0.97459,             0.66268,            0.030383,           0.0091256,           0.0061524,            0.009599,            0.009599,            0.009599
                  83,            0.036588,            0.012653,             0.00714,             0.94502,             0.98529,             0.98217,             0.60365,            0.039454,           0.0089581,           0.0058296,           0.0095941,           0.0095941,           0.0095941
                  84,            0.051844,            0.012633,            0.006468,               0.606,             0.97768,             0.85889,             0.34205,            0.059756,           0.0086471,           0.0059984,           0.0095892,           0.0095892,           0.0095892
                  85,            0.065848,            0.013463,           0.0069059,              0.7745,             0.95228,             0.93313,             0.53116,            0.047554,           0.0082201,           0.0060276,           0.0095842,           0.0095842,           0.0095842
                  86,            0.044806,            0.014532,           0.0071616,              0.8827,             0.92008,             0.97575,              0.5472,            0.036502,           0.0083519,           0.0060407,           0.0095793,           0.0095793,           0.0095793
                  87,            0.041047,            0.012048,           0.0070187,             0.91942,             0.87588,             0.97804,             0.61104,            0.040606,           0.0084366,           0.0058944,           0.0095743,           0.0095743,           0.0095743
                  88,            0.051124,            0.012125,            0.006375,             0.82037,             0.70353,             0.86359,             0.35398,            0.045232,           0.0085828,           0.0061201,           0.0095694,           0.0095694,           0.0095694
                  89,            0.046846,            0.011713,           0.0072102,             0.94844,             0.90359,             0.97705,             0.58112,            0.037419,           0.0083419,           0.0062452,           0.0095644,           0.0095644,           0.0095644
                  90,            0.037539,            0.012196,           0.0071116,             0.96581,             0.98118,             0.98264,              0.6348,            0.028515,           0.0084915,           0.0063357,           0.0095595,           0.0095595,           0.0095595
